time,predicted_load,price,opt_charge,opt_discharge,opt_soc,opt_net_load,opt_cost_pred,opt_charge_improved,opt_discharge_improved,opt_soc_improved,opt_net_load_improved,opt_cost_pred_improved,actual_load,baseline_cost,rule_cost,lp_actual_cost,lp_pred_cost
2018-03-16 08:00:00+00:00,35037.59375072164,55.99,0.0,100.0,250.0,34937.59375072164,1956155.8741029045,0.0,100.0,250.0,34937.59375072164,1956155.8741029045,34920.0,1955170.8,1949571.8,1949571.8,1956155.8741029045
2018-03-16 09:00:00+00:00,35003.075740242944,52.8,0.0,100.0,144.73684,34903.075740242944,1842882.3990848274,0.0,100.0,144.73684,34903.075740242944,1842882.3990848274,34837.0,1839393.5999999999,1834113.5999999999,1834113.5999999999,1842882.3990848274
2018-03-16 10:00:00+00:00,34670.48864292125,51.17,0.0,100.0,39.473684,34570.48864292125,1768971.9038582803,0.0,100.0,39.473684,34570.48864292125,1768971.9038582803,34651.0,1773091.6700000002,1771071.8015789473,1767974.6700000002,1768971.9038582803
2018-03-16 11:00:00+00:00,34145.82484654666,50.54,0.0,37.5,0.0,34108.32484654666,1723834.7377444683,0.0,37.5,0.0,34108.32484654666,1723834.7377444683,34338.0,1735442.52,1735442.52,1733547.27,1723834.7377444683
2018-03-16 12:00:00+00:00,33230.17966082762,50.18,0.0,0.0,0.0,33230.17966082762,1667490.41538033,0.0,0.0,0.0,33230.17966082762,1667490.41538033,33245.0,1668234.1,1668234.1,1668234.1,1667490.41538033
2018-03-16 13:00:00+00:00,32646.17438353376,46.5,0.0,0.0,0.0,32646.17438353376,1518047.1088343197,0.0,0.0,0.0,32646.17438353376,1518047.1088343197,32434.0,1508181.0,1508181.0,1508181.0,1518047.1088343197
2018-03-16 14:00:00+00:00,32175.60794460038,44.3,100.0,0.0,95.0,32275.60794460038,1429809.4319457966,100.0,0.0,95.0,32275.60794460038,1429809.4319457966,31990.0,1417157.0,1417157.0,1421587.0,1429809.4319457966
2018-03-16 15:00:00+00:00,32076.442101513483,41.91,100.0,0.0,190.0,32176.442101513483,1348514.68847443,100.0,0.0,190.0,32176.442101513483,1348514.68847443,31696.0,1328379.3599999999,1328379.3599999999,1332570.3599999999,1348514.68847443
2018-03-16 16:00:00+00:00,32221.40879839172,42.89,100.0,0.0,285.0,32321.40879839172,1386265.223363021,100.0,0.0,285.0,32321.40879839172,1386265.223363021,31598.0,1355238.22,1355238.22,1359527.22,1386265.223363021
2018-03-16 17:00:00+00:00,33295.61013083178,45.44,0.0,0.0,285.0,33295.61013083178,1512952.524344996,0.0,0.0,285.0,33295.61013083178,1512952.524344996,33465.0,1520649.5999999999,1520649.5999999999,1520649.5999999999,1512952.524344996
2018-03-16 18:00:00+00:00,34719.04495985972,50.54,0.0,100.0,179.73684,34619.04495985972,1749646.5322713102,0.0,100.0,179.73684,34619.04495985972,1749646.5322713102,34866.0,1762127.64,1762127.64,1757073.64,1749646.5322713102
2018-03-16 19:00:00+00:00,34090.99934571894,50.13,0.0,70.75,105.26316,34020.24934571894,1705435.0997008907,0.0,70.75,105.26316,34020.24934571894,1705435.0997008907,34068.0,1707828.84,1707828.84,1704282.1425,1705435.0997008907
2018-03-16 20:00:00+00:00,31961.87753592511,50.17,0.0,100.0,0.0,31861.87753592511,1598510.3959773628,0.0,100.0,0.0,31861.87753592511,1598510.3959773628,31909.0,1600874.53,1600874.53,1595857.53,1598510.3959773628
2018-03-16 21:00:00+00:00,29191.68917567276,49.89,0.0,0.0,0.0,29191.68917567276,1456373.372974314,0.0,0.0,0.0,29191.68917567276,1456373.372974314,29497.0,1471605.33,1471605.33,1471605.33,1456373.372974314
2018-03-16 22:00:00+00:00,27100.16206755293,44.01,0.0,0.0,0.0,27100.16206755293,1192678.1325930045,0.0,0.0,0.0,27100.16206755293,1192678.1325930045,27572.0,1213443.72,1213443.72,1213443.72,1192678.1325930045
2018-03-16 23:00:00+00:00,25793.76818776144,41.71,0.0,0.0,0.0,25793.76818776144,1075858.0711115298,0.0,0.0,0.0,25793.76818776144,1075858.0711115298,25634.0,1069194.1400000001,1069194.1400000001,1069194.1400000001,1075858.0711115298
2018-03-17 00:00:00+00:00,24283.001971553396,36.27,0.0,0.0,0.0,24283.001971553396,880744.4815082417,100.0,0.0,95.0,24383.001971553396,884371.4815082417,24440.0,886438.8,890065.8,886438.8,884371.4815082417
2018-03-17 01:00:00+00:00,23691.564402640048,35.0,100.0,0.0,95.0,23791.564402640048,832704.7540924017,100.0,0.0,190.0,23791.564402640048,832704.7540924017,23750.0,831250.0,834750.0,834750.0,832704.7540924017
2018-03-17 02:00:00+00:00,23316.362427580752,35.55,10.803324,0.0,105.26316,23327.165751580753,829280.7424686957,100.0,0.0,285.0,23416.362427580752,832451.6843004957,23277.0,827497.35,831052.35,827881.4081681999,832451.6843004957
2018-03-17 03:00:00+00:00,23474.795833436983,36.37,0.0,0.0,105.26316,23474.795833436983,853778.3244621031,73.961219,0.0,355.26316,23548.757052436984,856468.293997133,23353.0,849348.61,852985.61,849348.61,856468.293997133
2018-03-17 04:00:00+00:00,24263.29711040823,36.96,0.0,0.0,105.26316,24263.29711040823,896771.4612006883,0.0,0.0,355.26316,24263.29711040823,896771.4612006883,24037.0,888407.52,892103.52,888407.52,896771.4612006883
2018-03-17 05:00:00+00:00,25706.5936828412,37.89,0.0,0.0,105.26316,25706.5936828412,974022.8346428531,0.0,0.0,355.26316,25706.5936828412,974022.8346428531,24808.0,939975.12,939975.12,939975.12,974022.8346428531
2018-03-17 06:00:00+00:00,26399.006343366847,37.87,0.0,0.0,105.26316,26399.006343366847,999730.3702233024,0.0,0.0,355.26316,26399.006343366847,999730.3702233024,26723.0,1012000.0099999999,1012946.7599999999,1012000.0099999999,999730.3702233024
2018-03-17 07:00:00+00:00,28970.68427748842,40.8,0.0,100.0,0.0,28870.68427748842,1177923.9185215274,0.0,100.0,250.0,28870.68427748842,1177923.9185215274,29594.0,1207435.2,1207435.2,1203355.2,1177923.9185215274
